Time,Maryland_S,Maryland_E,Maryland_I,Maryland_R,Maryland_D,Maryland_V,Iowa_S,Iowa_E,Iowa_I,Iowa_R,Iowa_D,Iowa_V,Delaware_S,Delaware_E,Delaware_I,Delaware_R,Delaware_D,Delaware_V,Ohio_S,Ohio_E,Ohio_I,Ohio_R,Ohio_D,Ohio_V,Pennsylvania_S,Pennsylvania_E,Pennsylvania_I,Pennsylvania_R,Pennsylvania_D,Pennsylvania_V,Nebraska_S,Nebraska_E,Nebraska_I,Nebraska_R,Nebraska_D,Nebraska_V,Washington_S,Washington_E,Washington_I,Washington_R,Washington_D,Washington_V,Alabama_S,Alabama_E,Alabama_I,Alabama_R,Alabama_D,Alabama_V,Arkansas_S,Arkansas_E,Arkansas_I,Arkansas_R,Arkansas_D,Arkansas_V,New Mexico_S,New Mexico_E,New Mexico_I,New Mexico_R,New Mexico_D,New Mexico_V,Texas_S,Texas_E,Texas_I,Texas_R,Texas_D,Texas_V,California_S,California_E,California_I,California_R,California_D,California_V,Kentucky_S,Kentucky_E,Kentucky_I,Kentucky_R,Kentucky_D,Kentucky_V,Georgia_S,Georgia_E,Georgia_I,Georgia_R,Georgia_D,Georgia_V,Wisconsin_S,Wisconsin_E,Wisconsin_I,Wisconsin_R,Wisconsin_D,Wisconsin_V,Oregon_S,Oregon_E,Oregon_I,Oregon_R,Oregon_D,Oregon_V,Missouri_S,Missouri_E,Missouri_I,Missouri_R,Missouri_D,Missouri_V,Virginia_S,Virginia_E,Virginia_I,Virginia_R,Virginia_D,Virginia_V,Tennessee_S,Tennessee_E,Tennessee_I,Tennessee_R,Tennessee_D,Tennessee_V,Louisiana_S,Louisiana_E,Louisiana_I,Louisiana_R,Louisiana_D,Louisiana_V,New York_S,New York_E,New York_I,New York_R,New York_D,New York_V,Michigan_S,Michigan_E,Michigan_I,Michigan_R,Michigan_D,Michigan_V,Idaho_S,Idaho_E,Idaho_I,Idaho_R,Idaho_D,Idaho_V,Florida_S,Florida_E,Florida_I,Florida_R,Florida_D,Florida_V,Illinois_S,Illinois_E,Illinois_I,Illinois_R,Illinois_D,Illinois_V,Montana_S,Montana_E,Montana_I,Montana_R,Montana_D,Montana_V,Minnesota_S,Minnesota_E,Minnesota_I,Minnesota_R,Minnesota_D,Minnesota_V,Indiana_S,Indiana_E,Indiana_I,Indiana_R,Indiana_D,Indiana_V,Massachusetts_S,Massachusetts_E,Massachusetts_I,Massachusetts_R,Massachusetts_D,Massachusetts_V,Kansas_S,Kansas_E,Kansas_I,Kansas_R,Kansas_D,Kansas_V,Nevada_S,Nevada_E,Nevada_I,Nevada_R,Nevada_D,Nevada_V,Vermont_S,Vermont_E,Vermont_I,Vermont_R,Vermont_D,Vermont_V,Connecticut_S,Connecticut_E,Connecticut_I,Connecticut_R,Connecticut_D,Connecticut_V,New Jersey_S,New Jersey_E,New Jersey_I,New Jersey_R,New Jersey_D,New Jersey_V,North Carolina_S,North Carolina_E,North Carolina_I,North Carolina_R,North Carolina_D,North Carolina_V,Utah_S,Utah_E,Utah_I,Utah_R,Utah_D,Utah_V,North Dakota_S,North Dakota_E,North Dakota_I,North Dakota_R,North Dakota_D,North Dakota_V,South Carolina_S,South Carolina_E,South Carolina_I,South Carolina_R,South Carolina_D,South Carolina_V,Mississippi_S,Mississippi_E,Mississippi_I,Mississippi_R,Mississippi_D,Mississippi_V,Colorado_S,Colorado_E,Colorado_I,Colorado_R,Colorado_D,Colorado_V,South Dakota_S,South Dakota_E,South Dakota_I,South Dakota_R,South Dakota_D,South Dakota_V,Oklahoma_S,Oklahoma_E,Oklahoma_I,Oklahoma_R,Oklahoma_D,Oklahoma_V,Wyoming_S,Wyoming_E,Wyoming_I,Wyoming_R,Wyoming_D,Wyoming_V,West Virginia_S,West Virginia_E,West Virginia_I,West Virginia_R,West Virginia_D,West Virginia_V,Maine_S,Maine_E,Maine_I,Maine_R,Maine_D,Maine_V,New Hampshire_S,New Hampshire_E,New Hampshire_I,New Hampshire_R,New Hampshire_D,New Hampshire_V,Arizona_S,Arizona_E,Arizona_I,Arizona_R,Arizona_D,Arizona_V,Rhode Island_S,Rhode Island_E,Rhode Island_I,Rhode Island_R,Rhode Island_D,Rhode Island_V,Totals_S,Totals_E,Totals_I,Totals_R,Totals_D,Totals_V
1,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511498E+07,0,0,0,0,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305800050,0,0,0,0,0
2,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511492E+07,27,30,0,1,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799992,27,30,0,1,0
3,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511489E+07,57,34,0,3,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799956,57,34,0,3,0
4,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511485E+07,88,38,0,5,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799919,88,38,0,5,0
5,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.51148E+07,126,43,0,6,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799875,126,43,0,6,0
6,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511476E+07,145,63,0,7,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799835,145,63,0,7,0
7,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.51147E+07,201,76,0,9,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799764,201,76,0,9,0
8,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511461E+07,255,102,0,10,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799683,255,102,0,10,0
9,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511451E+07,331,130,0,11,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799578,331,130,0,11,0
10,6497744,0,0,0,0,0,3086788,0,0,0,0,0,834420,0,0,0,0,0,1.13311E+07,0,0,0,0,0,1.267713E+07,0,0,0,0,0,1828636,0,0,0,0,0,7083135,0,0,0,0,0,4507724,0,0,0,0,0,2652788,0,0,0,0,0,2007169,0,0,0,0,0,2.609593E+07,0,0,0,0,0,3.511438E+07,426,164,0,12,0,4646502,0,0,0,0,0,9668215,0,0,0,0,0,5784086,0,0,0,0,0,4026673,0,0,0,0,0,6095176,0,0,0,0,0,8356177,0,0,0,0,0,5924996,0,0,0,0,0,4425600,0,0,0,0,0,1.834169E+07,0,0,0,0,0,9800301,0,0,0,0,0,1677723,0,0,0,0,0,2.013142E+07,0,0,0,0,0,1.295622E+07,0,0,0,0,0,1020306,0,0,0,0,0,5469500,0,0,0,0,0,6518298,0,0,0,0,0,5612916,0,0,0,0,0,2858035,0,0,0,0,0,2761690,0,0,0,0,0,634153,0,0,0,0,0,3351654,0,0,0,0,0,1.005425E+07,0,0,0,0,0,9311830,0,0,0,0,0,3037363,0,0,0,0,0,672026,0,0,0,0,0,4474623,0,0,0,0,0,2782401,0,0,0,0,0,5367069,0,0,0,0,0,849586,0,0,0,0,0,3545716,0,0,0,0,0,587924,0,0,0,0,0,1822686,0,0,0,0,0,1216068,0,0,0,0,0,1278560,0,0,0,0,0,6091467,0,0,0,0,0,929596,0,0,0,0,0,305799448,426,164,0,12,0
